title,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross
Forever My Girl,2018,108.0,Romance,98,"Jan 19, 2018","$3,500,000",16376066.0,16376066.0
Forget Me Not,2010,93.0,Romance,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2010,109.0,Drama,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2014,90.0,Comedy,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2014,90.0,Drama,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2014,90.0,Family,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2014,102.0,Adventure,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2014,102.0,Drama,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2016,83.0,Documentary,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2010,94.0,Drama,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forget Me Not,2010,94.0,Horror,44,"May 24, 2011","$1,300,000",0.0,13465.0
Forsaken,2015,90.0,Action,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Forsaken,2015,90.0,Drama,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Forsaken,2015,90.0,Western,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Forsaken,2018,95.0,Adventure,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Forsaken,2018,95.0,Drama,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Forsaken,2018,95.0,Sci-Fi,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Forsaken,2015,80.0,Drama,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Forsaken,2016,89.0,Horror,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Forsaken,2017,86.0,Thriller,54,"Feb 19, 2016","$18,000,000",0.0,0.0
Fort McCoy,2011,100.0,Drama,49,"Aug 15, 2014","$3,000,000",78948.0,78948.0
Fort McCoy,2011,100.0,History,49,"Aug 15, 2014","$3,000,000",78948.0,78948.0
Fort McCoy,2011,100.0,War,49,"Aug 15, 2014","$3,000,000",78948.0,78948.0
Fortress,2012,70.0,Documentary,13,"Sep 3, 1993","$12,000,000",6730578.0,46730578.0
Fortress,2012,70.0,Drama,13,"Sep 3, 1993","$12,000,000",6730578.0,46730578.0
Fortress,2012,70.0,News,13,"Sep 3, 1993","$12,000,000",6730578.0,46730578.0
Four Lions,2010,97.0,Comedy,79,"Nov 5, 2010","$3,750,000",310007.0,2436111.0
Four Lions,2010,97.0,Crime,79,"Nov 5, 2010","$3,750,000",310007.0,2436111.0
Four Lions,2010,97.0,Drama,79,"Nov 5, 2010","$3,750,000",310007.0,2436111.0
Frances Ha,2012,86.0,Comedy,14,"May 17, 2013","$3,000,000",4067398.0,11262769.0
Frances Ha,2012,86.0,Drama,14,"May 17, 2013","$3,000,000",4067398.0,11262769.0
Frances Ha,2012,86.0,Romance,14,"May 17, 2013","$3,000,000",4067398.0,11262769.0
Frankenstein,2011,130.0,Drama,3,"Nov 4, 1994","$45,000,000",22006296.0,112006296.0
Frankenstein,2011,82.0,Drama,3,"Nov 4, 1994","$45,000,000",22006296.0,112006296.0
Frankenstein,2011,82.0,Horror,3,"Nov 4, 1994","$45,000,000",22006296.0,112006296.0
Frankenstein,2015,89.0,Horror,3,"Nov 4, 1994","$45,000,000",22006296.0,112006296.0
Frankenstein,2015,89.0,Sci-Fi,3,"Nov 4, 1994","$45,000,000",22006296.0,112006296.0
Frankenstein,2015,89.0,Thriller,3,"Nov 4, 1994","$45,000,000",22006296.0,112006296.0
Frankenweenie,2012,87.0,Animation,48,"Oct 5, 2012","$39,000,000",35287788.0,81150788.0
Frankenweenie,2012,87.0,Comedy,48,"Oct 5, 2012","$39,000,000",35287788.0,81150788.0
Frankenweenie,2012,87.0,Family,48,"Oct 5, 2012","$39,000,000",35287788.0,81150788.0
Freakonomics,2010,93.0,Documentary,80,"Oct 1, 2010","$2,900,000",101270.0,172867.0
Freaks of Nature,2015,92.0,Comedy,83,"Oct 30, 2015","$33,000,000",70958.0,70958.0
Freaks of Nature,2015,92.0,Horror,83,"Oct 30, 2015","$33,000,000",70958.0,70958.0
Freaks of Nature,2015,92.0,Sci-Fi,83,"Oct 30, 2015","$33,000,000",70958.0,70958.0
Freaky Deaky,2012,90.0,Comedy,94,"Dec 31, 2011","$6,000,000",0.0,0.0
Freaky Deaky,2012,90.0,Crime,94,"Dec 31, 2011","$6,000,000",0.0,0.0
Freaky Deaky,2012,90.0,Thriller,94,"Dec 31, 2011","$6,000,000",0.0,0.0
Free Birds,2013,91.0,Adventure,16,"Nov 1, 2013","$55,000,000",55750480.0,110387072.0
Free Birds,2013,91.0,Animation,16,"Nov 1, 2013","$55,000,000",55750480.0,110387072.0
Free Birds,2013,91.0,Comedy,16,"Nov 1, 2013","$55,000,000",55750480.0,110387072.0
Free Fire,2016,91.0,Action,83,"Apr 21, 2017","$10,000,000",1799322.0,3793739.0
Free Fire,2016,91.0,Comedy,83,"Apr 21, 2017","$10,000,000",1799322.0,3793739.0
Free Fire,2016,91.0,Crime,83,"Apr 21, 2017","$10,000,000",1799322.0,3793739.0
Free State of Jones,2016,139.0,Action,81,"Jun 24, 2016","$50,000,000",20810036.0,23237252.0
Free State of Jones,2016,139.0,Biography,81,"Jun 24, 2016","$50,000,000",20810036.0,23237252.0
Free State of Jones,2016,139.0,Drama,81,"Jun 24, 2016","$50,000,000",20810036.0,23237252.0
Freedom,2012,100.0,Crime,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2012,100.0,Drama,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2012,100.0,Thriller,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2011,88.0,Documentary,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2014,94.0,Drama,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2014,94.0,Music,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2014,48.0,Action,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2014,48.0,Comedy,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2017,100.0,Drama,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2016,102.0,Documentary,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
